0,9.41,1.0,0.3,0.5,NaN,NaN,-0.37,0.15,8.66,0.3,8.39,0.31,9.02,0.4
1,3.97,1.88,3.82,4.9,NaN,NaN,0.603,0.52,8.64,0.3,8.24,0.3,8.86,0.3
2,2.37,2.04,5.18,5.39,NaN,NaN,0.706,0.47,8.55,0.3,8.2,0.3,8.74,0.3
3,2.39,2.12,3.48,2.24,2.43,0.01,0.983,0.59,8.35,0.67,7.84,0.59,8.62,0.45
4,3.86,2.35,5.69,3.35,2.5,0.13,1.163,0.35,8.63,0.15,8.16,0.29,8.82,0.45
5,5.06,2.14,8.28,2.87,2.4,0.07,1.185,0.24,8.48,0.27,8.02,0.66,8.83,0.33
6,5.04,2.06,8.47,1.67,2.25,0.07,1.181,0.27,8.4,0.32,7.83,0.36,8.77,0.56
7,5.44,1.58,4.59,1.72,2.09,0.08,0.963,0.26,8.34,0.25,7.87,0.41,8.69,0.3
8,5.69,2.38,3.15,1.42,1.95,0.09,0.723,0.29,8.28,0.2,7.77,0.3,8.56,0.3
9,7.69,2.13,2.44,0.8,1.79,0.1,0.594,0.25,8.26,0.22,7.76,0.41,8.6,0.35
10,6.52,2.18,1.96,1.18,1.69,0.14,0.51,0.43,8.11,0.27,7.59,0.37,8.45,0.36
11,6.16,2.06,1.24,0.8,1.51,0.03,0.403,0.39,8.01,0.29,7.6,0.36,8.41,0.34
12,5.63,2.17,0.99,0.75,1.38,0.01,0.006,0.65,8.0,0.38,7.53,0.31,8.44,0.32
13,4.83,2.86,0.57,0.71,1.25,0.03,0.183,0.48,7.76,0.2,7.35,0.33,8.44,0.38
14,3.65,2.8,0.82,0.94,1.09,0.01,-0.26,0.57,7.93,0.17,7.45,0.34,8.42,0.43
15,2.96,2.69,1.09,1.84,0.94,0.01,-0.132,0.59,7.6,0.16,7.36,0.47,8.14,0.43
16,2.42,2.19,0.2,0.07,0.8,0.01,-0.52,0.15,NaN,NaN,7.6,0.54,8.14,0.39
17,2.15,2.17,0.13,0.05,NaN,NaN,-0.68,0.18,NaN,NaN,6.98,0.62,8.19,0.35
18,1.61,1.77,0.08,0.03,NaN,NaN,-0.89,0.15,NaN,NaN,NaN,NaN,7.96,0.5
19,1.18,1.66,0.03,0.01,NaN,NaN,-1.37,0.15,NaN,NaN,NaN,NaN,NaN,NaN
20,1.1,1.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN